Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
M-HEALTH TOOLS TO ENHANCE TREATMENT OF TEEN SUBSTANCE ABUSE AND MENTAL ILLNESS,NIDA,9322641,7K23DA038257-03,7,K23,DA,38257,3,,,10102038,"ADAMS, ZACHARY WILLIAM",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,134102,
CHLORTHALIDONE IN CHRONIC KIDNEY DISEASE (CLICK) STUDY,NHLBI,9030194,1R01HL126903-01A1,1,R01,HL,126903,1,A1,,2251136,"AGARWAL, RAJIV ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,690843,
DEVELOPMENTAL LINKAGE OF METABOLIC HOMEOSTASIS AND SOCIALITY,NICHD,9053504,5R01HD082203-02,5,R01,HD,82203,2,,,1957692,"ALBERTS, JEFFREY R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,281746,
MOTHER-OFFSPRING MICROBIOME AS PERINATAL SUBSTRATE FOR NEUROBEHAVIORAL DEVELOPMENT,NICHD,9034996,1R21HD083769-01A1,1,R21,HD,83769,1,A1,,1957692,"ALBERTS, JEFFREY R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
ENHANCING BONE STRENGTH USING COMBINATION DRUG THERAPY,NIAMS,9012010,4R01AR062002-05,4,R01,AR,62002,5,,,7722842,"ALLEN, MATTHEW R",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,322702,
COGNITIVE-LINGUISTIC PROCESSES IN DEVELOPMENTAL STUTTERING,NIDCD,9113549,4R01DC012517-05,4,R01,DC,12517,5,,,7800282,"ANDERSON, JULIE D",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,331374,
THE INDIANA CUTANEOUS BIOLOGICAL RESEARCH TRAINING PROGRAM,NIAMS,9039539,4T32AR062495-04,4,T32,AR,62495,4,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,147408,
CONTROL OF PAPILLOMAVIRUS EXPRESSION AND TRANSFORMATION,NCI,9066580,5R01CA058376-21,5,R01,CA,58376,21,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,370500,
THE COPA VESICLE PROTEIN AND PATHOGENESIS OF SPINAL MUSCULAR ATROPHY,NINDS,9274418,3R01NS082284-04S1,3,R01,NS,82284,4,S1,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,55689,
THE COPA VESICLE PROTEIN AND PATHOGENESIS OF SPINAL MUSCULAR ATROPHY,NINDS,9099979,4R01NS082284-04,4,R01,NS,82284,4,,,1888661,"ANDROPHY, ELLIOT J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,341250,
OPTIMIZATION OF COMPOUNDS THAT STABILIZE THE SMN PROTEIN FOR TREATMENT OF SMA,NINDS,9026365,1R21NS095139-01,1,R21,NS,95139,1,,,1888661,"ANDROPHY, ELLIOT J ","HODGETTS, KEVIN ;LORSON, CHRISTIAN L.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,431954,
IMAGING AND GENETIC BIOMARKERS FOR ALZHEIMER'S DISEASE,NIA,9229736,7R01AG040770-05,7,R01,AG,40770,5,,,8184486,"APOSTOLOVA, LIANA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,319800,
IMAGING EPIGENETICS OF ALZHEIMER'S DISEASE,NIA,9230612,7K02AG048240-03,7,K02,AG,48240,3,,,8184486,"APOSTOLOVA, LIANA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,144720,
DISSECTING THE ROLE OF TOXOPLASMA CDPK3 IN PARASITE PROPAGATION AND VIRULENCE,NIAID,9003023,5R21AI108393-02,5,R21,AI,108393,2,,,1896436,"ARRIZABALAGA, GUSTAVO A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
